Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,
Stade Louis II17,Wed,2021-01-20,20:30 (11:30),RB Leipzig,1.4,1–0,0.3,Union Berlin,,Red Bull Arena,Markus Schmidt,
Stade Louis II17,Wed,2021-01-20,20:30 (11:30),Freiburg,0.7,2–2,1.4,Eint Frankfurt,,Schwarzwald-Stadion,Guido Winkmann,
Stade Louis II18,Fri,2021-01-22,20:30 (11:30),M'Gladbach,1.8,4–2,1.2,Dortmund,,Stadion im Borussia-Park,Manuel Gräfe,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Freiburg,1.2,2–1,2.5,Stuttgart,,Schwarzwald-Stadion,Tobias Stieler,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Mainz 05,1.6,3–2,1.4,RB Leipzig,,Opel Arena,Christian Dingert,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Augsburg,1.0,2–1,1.5,Union Berlin,,WWK Arena,Felix Brych,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Arminia,0.6,1–5,2.4,Eint Frankfurt,,SchücoArena,Robert Schröder,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Leverkusen,1.0,0–1,1.1,Wolfsburg,,BayArena,Marco Fritz,
Stade Louis II18,Sat,2021-01-23,18:30 (09:30),Hertha BSC,1.9,1–4,1.5,Werder Bremen,,Olympiastadion Berlin,Daniel Schlager,
Stade Louis II18,Sun,2021-01-24,15:30 (06:30),Schalke 04,0.7,0–4,3.1,Bayern Munich,,Veltins-Arena,Sascha Stegemann,
Stade Louis II18,Sun,2021-01-24,18:00 (09:00),Hoffenheim,2.2,3–0,2.0,Köln,,PreZero Arena,Sven Jablonski,
Stade Louis II19,Fri,2021-01-29,20:30 (11:30),Stuttgart,1.0,2–0,0.5,Mainz 05,,Mercedes-Benz Arena,Frank Willenborg,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Dortmund,1.9,3–1,0.5,Augsburg,,Signal Iduna Park,Patrick Ittrich,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Bayern Munich,2.0,4–1,2.1,Hoffenheim,,Allianz Arena,Benjamin Cortus,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Union Berlin,0.5,1–1,0.9,M'Gladbach,,Stadion An der Alten Försterei,Bastian Dankert,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Werder Bremen,0.7,1–1,0.3,Schalke 04,,Weserstadion,Sören Storks,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Eint Frankfurt,2.3,3–1,0.5,Hertha BSC,,Commerzbank-Arena,Florian Badstübner,
Stade Louis II19,Sat,2021-01-30,18:30 (09:30),RB Leipzig,1.7,1–0,0.5,Leverkusen,,Red Bull Arena,Harm Osmers,
Stade Louis II19,Sun,2021-01-31,15:30 (06:30),Köln,1.7,3–1,1.5,Arminia,,RheinEnergieSTADION,Felix Zwayer,
Stade Louis II19,Sun,2021-01-31,18:00 (09:00),Wolfsburg,2.3,3–0,0.7,Freiburg,,Volkswagen Arena,Tobias Reichel,
Stade Louis II20,Fri,2021-02-05,20:00 (11:00),Hertha BSC,1.4,0–1,2.4,Bayern Munich,,Olympiastadion Berlin,Robert Schröder,
Stade Louis II20,Sat,2021-02-06,15:30 (06:30),Freiburg,0.2,2–1,1.5,Dortmund,,Schwarzwald-Stadion,Felix Brych,
Stade Louis II20,Sat,2021-02-06,15:30 (06:30),Augsburg,0.6,0–2,2.3,Wolfsburg,,WWK Arena,Robert Hartmann,
